Name;Street Address;Location;Type;Reviews;No of Reviews;Contact Number;Trip_advisor Url;Menu;Price_Range;City
Broadway Bagel;2658 Broadway;New York City, NY 10025-5023; American, Cafe, Vegetarian Friendly;4.5;230 reviews;+1 212-662-0231;https://www.tripadvisor.com//Restaurant_Review-g60763-d3948791-Reviews-Broadway_Bagel-New_York_City_New_York.html;Check The Website for a Menu;$;New York City
Auld Dubliner;71 S Pine Ave;Long Beach, CA 90802-8158; Irish, Bar, Pub;4;241 reviews;+1 562-437-8300;https://www.tripadvisor.com//Restaurant_Review-g32648-d570061-Reviews-Auld_Dubliner-Long_Beach_California.html;Check The Website for a Menu;$$ - $$$;Long Beach
Davia;6-09 Fair Lawn Ave;Fair Lawn, NJ 07410-1226; Italian, Vegetarian Friendly;4;75 reviews;+1 201-797-6767;https://www.tripadvisor.com//Restaurant_Review-g46430-d1072595-Reviews-Davia-Fair_Lawn_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Fair Lawn
Blue Plate Oysterette;1355 Ocean Ave;Santa Monica, CA 90401-1019; American, Seafood, Vegetarian Friendly;4.5;987 reviews;+1 310-576-3474;https://www.tripadvisor.com//Restaurant_Review-g33052-d1599549-Reviews-Blue_Plate_Oysterette-Santa_Monica_California.html;Check The Website for a Menu;$$ - $$$;Santa Monica
Smoke Jazz Club;2751 Broadway;New York City, NY 10025-2803; American, Vegetarian Friendly, Gluten Free Options;4;544 reviews;+1 212-864-6662;https://www.tripadvisor.com//Restaurant_Review-g60763-d1052364-Reviews-Smoke_Jazz_Club-New_York_City_New_York.html;Check The Website for a Menu;$$ - $$$;New York City
Dashen Ethiopian Cuisine;88 Albany Street;New Brunswick, NJ 08901; African, Ethiopian, Vegetarian Friendly;4.5;23 reviews;+1 732-249-0494;https://www.tripadvisor.com//Restaurant_Review-g46664-d11862457-Reviews-Dashen_Ethiopian_Cuisine-New_Brunswick_New_Jersey.html;Check The Website for a Menu;$$ - $$$;New Brunswick
Max's Bistro & Bar;1784 W Bullard Ave;Fresno, CA 93711-2328; Steakhouse, American, Vegetarian Friendly;4.5;188 reviews;+1 559-439-6900;https://www.tripadvisor.com//Restaurant_Review-g32414-d1465516-Reviews-Max_s_Bistro_Bar-Fresno_California.html;Check The Website for a Menu;$$ - $$$;Fresno
Napa Rose;1313 Disneyland Dr.;Anaheim, CA 92802; American, Vegetarian Friendly, Vegan Options;4.5;990 reviews;+1 714-635-2300;https://www.tripadvisor.com//Restaurant_Review-g29092-d341583-Reviews-Napa_Rose-Anaheim_California.html;Check The Website for a Menu;$$$$;Anaheim
Cross Culture Restaurant;301 N Harrison St;Princeton, NJ 08540-3512; Indian, Vegetarian Friendly, Vegan Options;4.5;136 reviews;+1 609-688-9400;https://www.tripadvisor.com//Restaurant_Review-g46756-d2368673-Reviews-Cross_Culture_Restaurant-Princeton_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Princeton
The Fish Market - San Jose;1007 Blossom Hill Rd;San Jose, CA 95123-1104; Seafood, Gluten Free Options;4;192 reviews;+1 408-269-3474;https://www.tripadvisor.com//Restaurant_Review-g33020-d539252-Reviews-The_Fish_Market_San_Jose-San_Jose_California.html;Check The Website for a Menu;$$ - $$$;San Jose
Ferraros;11204 E Sprague Ave;Spokane, WA 99206-5220; Italian, Vegetarian Friendly;4;54 reviews;+1 509-928-2303;https://www.tripadvisor.com//Restaurant_Review-g58759-d4022893-Reviews-Ferraros-Spokane_Washington.html;https://www.ferrarosfamilyitalian.com/north-location-menu-1;$$ - $$$;Spokane
Z Counter;1220 Airline Rd Ste 155;Corpus Christi, TX 78412-3489; Asian, Vegetarian Friendly;4.5;55 reviews;+1 361-991-1115;https://www.tripadvisor.com//Restaurant_Review-g60927-d7189017-Reviews-Z_Counter-Corpus_Christi_Texas.html;Check The Website for a Menu;$;Corpus Christi
Aslan Brewing Company;1330 N Forest St;Bellingham, WA 98225-4702; American, Bar, Pub;4.5;284 reviews;+1 360-778-2088;https://www.tripadvisor.com//Restaurant_Review-g58350-d6720375-Reviews-Aslan_Brewing_Company-Bellingham_Washington.html;https://aslanbrewing.com/the-food;$$ - $$$;Bellingham
Amici Milano Restaurant;600 Chestnut Ave;Trenton, NJ 08611-1302; Italian;4.5;77 reviews;+1 609-396-6300;https://www.tripadvisor.com//Restaurant_Review-g46874-d512833-Reviews-Amici_Milano_Restaurant-Trenton_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Trenton
Ruth's Chris Steak House;2041 South Harbor Boulevard;Anaheim, CA 92802-3513; American, Steakhouse, Vegetarian Friendly;4.5;513 reviews;+1 714-750-5466;https://www.tripadvisor.com//Restaurant_Review-g29092-d1077845-Reviews-Ruth_s_Chris_Steak_House-Anaheim_California.html;Check The Website for a Menu;$$$$;Anaheim
The Capital Grille;3333 Bristol St;Costa Mesa, CA 92626-1873; American, Steakhouse, Gluten Free Options;4.5;399 reviews;+1 714-432-1140;https://www.tripadvisor.com//Restaurant_Review-g32253-d1918933-Reviews-The_Capital_Grille-Costa_Mesa_California.html;Check The Website for a Menu;$$$$;Costa Mesa
Harold's New York Deli Restaurant;3050 Woodbridge Ave;Edison, NJ 08837-3460; American, Deli, Vegetarian Friendly;4.5;1,021 reviews;+1 732-661-9100;https://www.tripadvisor.com//Restaurant_Review-g46410-d1381081-Reviews-Harold_s_New_York_Deli_Restaurant-Edison_New_Jersey.html;http://haroldsfamousdeli.com;$$ - $$$;Edison
Anthony's Woodfire Grill;1722 W Marine View Dr;Everett, WA 98201-2087; American, Bar, Seafood;4;302 reviews;+1 425-258-4000;https://www.tripadvisor.com//Restaurant_Review-g58466-d463634-Reviews-Anthony_s_Woodfire_Grill-Everett_Washington.html;Check The Website for a Menu;$$ - $$$;Everett
Crystal Creek Cafe;22620 Bothell Everett Hwy;Bothell, WA 98021-8456; American, Cafe, Diner;4;254 reviews;+1 425-486-7781;https://www.tripadvisor.com//Restaurant_Review-g58362-d899268-Reviews-Crystal_Creek_Cafe-Bothell_Washington.html;Check The Website for a Menu;$$ - $$$;Bothell
Villa Gennaros;75 State Route 27;Edison, NJ 08820-3953; Italian, Pizza, Vegetarian Friendly;4.5;65 reviews;+1 732-549-8554;https://www.tripadvisor.com//Restaurant_Review-g46410-d3743041-Reviews-Villa_Gennaros-Edison_New_Jersey.html;https://villagennaros.com/take-out-menu/;$$ - $$$;Edison
River Rock Restaurant and Marina Bar;1600 Route 70;Brick, NJ 08724-1862; American, Bar, Pub;3.5;233 reviews;+1 732-840-1110;https://www.tripadvisor.com//Restaurant_Review-g46321-d3349578-Reviews-River_Rock_Restaurant_and_Marina_Bar-Brick_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Brick
Egan & Sons;118 Walnut St;Montclair, NJ 07042-3852; American, Irish, Bar;4;186 reviews;+1 973-744-1413;https://www.tripadvisor.com//Restaurant_Review-g46637-d915801-Reviews-Egan_Sons-Montclair_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Montclair
Toulouse Petit Kitchen & Lounge;601 Queen Anne Ave N;Seattle, WA 98109-4013; American, Cajun & Creole, Vegetarian Friendly;4.5;1,578 reviews;+1 206-432-9069;https://www.tripadvisor.com//Restaurant_Review-g60878-d1635070-Reviews-Toulouse_Petit_Kitchen_Lounge-Seattle_Washington.html;Check The Website for a Menu;$$ - $$$;Seattle
Anthony's Coal Fired Pizza;80 Parsonage Rd;Edison, NJ 08837-2416; Pizza, Italian, Bar;4;77 reviews;+1 732-744-1500;https://www.tripadvisor.com//Restaurant_Review-g46410-d2619758-Reviews-Anthony_s_Coal_Fired_Pizza-Edison_New_Jersey.html;https://acfp.com/menu;$$ - $$$;Edison
Black Bear Diner;4102 California Ave;Bakersfield, CA 93309-1014; American, Diner, Gluten Free Options;4;178 reviews;+1 661-322-5000;https://www.tripadvisor.com//Restaurant_Review-g32037-d4836353-Reviews-Black_Bear_Diner-Bakersfield_California.html;Check The Website for a Menu;$$ - $$$;Bakersfield
Trattoria Corso;1788 Shattuck Ave;Berkeley, CA 94709-1750; Italian, Vegetarian Friendly, Vegan Options;4.5;202 reviews;+1 510-704-8004;https://www.tripadvisor.com//Restaurant_Review-g32066-d1074703-Reviews-Trattoria_Corso-Berkeley_California.html;Check The Website for a Menu;$$ - $$$;Berkeley
Zinc Bistro and Wine Bar;207 N Presa St;San Antonio, TX 78205-2635; American, Bar, Wine Bar;4.5;1,129 reviews;+1 210-224-2900;https://www.tripadvisor.com//Restaurant_Review-g60956-d437288-Reviews-Zinc_Bistro_and_Wine_Bar-San_Antonio_Texas.html;Check The Website for a Menu;$$ - $$$;San Antonio
King's Blu Jam Cafe;4711 Louetta Rd;Spring, TX 77388-4351; Cafe, Cajun & Creole;5;16 reviews;+1 713-389-5555;https://www.tripadvisor.com//Restaurant_Review-g56701-d15125070-Reviews-King_s_Blu_Jam_Cafe-Spring_Texas.html;https://img1.wsimg.com/blobby/go/7d01b5de-2694-4b3f-a9f3-325d6b112d31/downloads/1cvmr3b83_311130.jpg;$$ - $$$;Spring
Chef's;291 Seneca St;Buffalo, NY 14204-2011; Italian, Vegetarian Friendly, Vegan Options;4;829 reviews;+1 716-856-9187;https://www.tripadvisor.com//Restaurant_Review-g60974-d408640-Reviews-Chef_s-Buffalo_New_York.html;Check The Website for a Menu;$$ - $$$;Buffalo
Ithaca Ale House;111 N Aurora St;Ithaca, NY 14850-4301; American, Bar, Pub;4;463 reviews;+1 607-256-7977;https://www.tripadvisor.com//Restaurant_Review-g47958-d1019978-Reviews-Ithaca_Ale_House-Ithaca_Finger_Lakes_New_York.html;Check The Website for a Menu;$$ - $$$;Ithaca
nFuse Restaurant;700 West Convention Way;Anaheim, CA 92802; American, Bar, Vegetarian Friendly;4;205 reviews;+1 714-750-8000;https://www.tripadvisor.com//Restaurant_Review-g29092-d7304206-Reviews-NFuse_Restaurant-Anaheim_California.html;https://modules.marriott.com/hotel-restaurants/laxah-anaheim-marriott/nfuse/5673292/online-menu;$$ - $$$;Anaheim
The Mission;1250 J St;San Diego, CA 92101-7541; Mexican, American, Vegetarian Friendly;4.5;398 reviews;+1 619-232-7662;https://www.tripadvisor.com//Restaurant_Review-g60750-d1436094-Reviews-The_Mission-San_Diego_California.html;Check The Website for a Menu;$$ - $$$;San Diego
Vault Brewing Co.;10 S Main St;Yardley, PA 19067-1511; American, Bar, Pizza;4;311 reviews;+1 267-573-4291;https://www.tripadvisor.com//Restaurant_Review-g54042-d3619107-Reviews-Vault_Brewing_Co-Yardley_Pennsylvania.html;http://www.vaultbrewing.com#menu;$$ - $$$;Yardley
Grays;301 W 6th St;Vancouver, WA 98660-3109; American, Contemporary, Vegetarian Friendly;4;187 reviews;+1 360-828-4343;https://www.tripadvisor.com//Restaurant_Review-g60820-d649165-Reviews-Grays-Vancouver_Washington.html;Check The Website for a Menu;$$ - $$$;Vancouver
Hudson's Bar & Grill;7805 NE Greenwood Dr;Vancouver, WA 98662-7900; American, Bar, Contemporary;4.5;752 reviews;+1 360-816-6100;https://www.tripadvisor.com//Restaurant_Review-g60820-d462741-Reviews-Hudson_s_Bar_Grill-Vancouver_Washington.html;Check The Website for a Menu;$$ - $$$;Vancouver
Double Nickel Steak House;5405 Slide Rd;Lubbock, TX 79414-3727; American, Steakhouse;4;283 reviews;+1 806-792-0055;https://www.tripadvisor.com//Restaurant_Review-g56208-d608357-Reviews-Double_Nickel_Steak_House-Lubbock_Texas.html;Check The Website for a Menu;$$$$;Lubbock
Kim's Sushi;458 Eagle Rock Ave;West Orange, NJ 07052-3637; Japanese, Sushi, Asian;4.5;110 reviews;+1 973-669-2800;https://www.tripadvisor.com//Restaurant_Review-g60796-d4633052-Reviews-Kim_s_Sushi-West_Orange_New_Jersey.html;https://www.kimssushinj.com/menus;$$ - $$$;West Orange
Turkish Cuisine;116 Mamaroneck Ave;White Plains, NY 10601-5201; Mediterranean, Middle Eastern, Turkish;4;48 reviews;+1 914-683-6111;https://www.tripadvisor.com//Restaurant_Review-g48883-d3903875-Reviews-Turkish_Cuisine-White_Plains_New_York.html;Check The Website for a Menu;$$ - $$$;White Plains
The Capital Grille;3333 Bristol St;Costa Mesa, CA 92626-1873; American, Steakhouse, Gluten Free Options;4.5;399 reviews;+1 714-432-1140;https://www.tripadvisor.com//Restaurant_Review-g32253-d1918933-Reviews-The_Capital_Grille-Costa_Mesa_California.html;Check The Website for a Menu;$$$$;Costa Mesa
English Setter Brewing Company;15310 E Marietta Ave;Spokane Valley, WA 99216-1876; Bar, Pub;4.5;19 reviews;+1 509-413-3663;https://www.tripadvisor.com//Restaurant_Review-g1784998-d10454772-Reviews-English_Setter_Brewing_Company-Spokane_Valley_Washington.html;Check The Website for a Menu;$$ - $$$;Spokane Valley
Conte's Pizza;339 Witherspoon St;Princeton, NJ 08542-3470; Italian, Pizza, Vegetarian Friendly;4;203 reviews;+1 609-921-8041;https://www.tripadvisor.com//Restaurant_Review-g46756-d1017326-Reviews-Conte_s_Pizza-Princeton_New_Jersey.html;Check The Website for a Menu;$;Princeton
Romio's Pizza & Pasta;2714 Colby Ave;Everett, WA 98201-3511; Italian, Pizza, Vegetarian Friendly;4.5;42 reviews;+1 425-252-0800;https://www.tripadvisor.com//Restaurant_Review-g58466-d3706075-Reviews-Romio_s_Pizza_Pasta-Everett_Washington.html;Check The Website for a Menu;$$ - $$$;Everett
Bizzarro Italian Cafe;1307 N 46th St;Seattle, WA 98103-6709; Italian, Vegetarian Friendly, Gluten Free Options;4.5;233 reviews;+1 206-632-7277;https://www.tripadvisor.com//Restaurant_Review-g60878-d432142-Reviews-Bizzarro_Italian_Cafe-Seattle_Washington.html;Check The Website for a Menu;$$ - $$$;Seattle
Mi Piace;25 E Colorado Blvd;Pasadena, CA 91105-1901; Italian, Vegetarian Friendly, Vegan Options;4;545 reviews;+1 626-795-3131;https://www.tripadvisor.com//Restaurant_Review-g32859-d343311-Reviews-Mi_Piace-Pasadena_California.html;Check The Website for a Menu;$$ - $$$;Pasadena
Fork in the Road;1821 S Fielder Rd;Arlington, TX 76013-3739; American, Vegetarian Friendly;4.5;201 reviews;+1 817-459-3675;https://www.tripadvisor.com//Restaurant_Review-g30183-d6726182-Reviews-Fork_in_the_Road-Arlington_Texas.html;Check The Website for a Menu;$$ - $$$;Arlington
Truck Yard;5624 Sears St;Dallas, TX 75206-7118; American, Bar;4.5;274 reviews;+1 469-500-0139;https://www.tripadvisor.com//Restaurant_Review-g55711-d5121798-Reviews-Truck_Yard-Dallas_Texas.html;Check The Website for a Menu;$;Dallas
The Slow Bone;2234 Irving Blvd;Dallas, TX 75207-6202; American, Barbecue;4.5;236 reviews;+1 214-377-7727;https://www.tripadvisor.com//Restaurant_Review-g55711-d1153008-Reviews-The_Slow_Bone-Dallas_Texas.html;Check The Website for a Menu;$$ - $$$;Dallas
LouCas;9 State Route 27;Edison, NJ 08820-3966; Italian, Seafood, Vegetarian Friendly;4.5;419 reviews;+1 732-549-8580;https://www.tripadvisor.com//Restaurant_Review-g46410-d1407393-Reviews-LouCas-Edison_New_Jersey.html;http://loucasrestaurant.com/menu/lunch.aspx;$$ - $$$;Edison
Sushi Tei Restaurant;1800 Western Ave;Albany, NY 12203-4650; Japanese, Sushi, Asian;4.5;91 reviews;+1 518-218-0388;https://www.tripadvisor.com//Restaurant_Review-g29786-d1025001-Reviews-Sushi_Tei_Restaurant-Albany_New_York.html;Check The Website for a Menu;$$ - $$$;Albany
Vivendo Ristorante;23718 Bothell Everett Hwy;Bothell, WA 98021-9363; Italian, Mediterranean, Greek;4.5;61 reviews;+1 425-487-3202;https://www.tripadvisor.com//Restaurant_Review-g58362-d1894664-Reviews-Vivendo_Ristorante-Bothell_Washington.html;https://vivendorestaurante.com/dinner-menu/;$$ - $$$;Bothell
Lenny's Clam Bar & Restaurant;16103 Crossbay Blvd;Howard Beach, NY 11414-3442; Italian, Seafood, Gluten Free Options;4;225 reviews;+1 718-845-5100;https://www.tripadvisor.com//Restaurant_Review-g47927-d1027727-Reviews-Lenny_s_Clam_Bar_Restaurant-Howard_Beach_Queens_New_York.html;Check The Website for a Menu;$$ - $$$;Howard Beach
Hamburgao;288 Lafayette St;Newark, NJ 07105-2122; Brazilian, Fast Food, South American;4.5;44 reviews;+1 973-465-1776;https://www.tripadvisor.com//Restaurant_Review-g46671-d1067820-Reviews-Hamburgao-Newark_New_Jersey.html;Check The Website for a Menu;$;Newark
Herbs Thai Kitchen;1789 Route 88;Brick, NJ 08724-3003; Asian, Thai, Vegetarian Friendly;4.5;20 reviews;Not Available;https://www.tripadvisor.com//Restaurant_Review-g46321-d10841127-Reviews-Herbs_Thai_Kitchen-Brick_New_Jersey.html;http://www.herbsthaikitchen.com/menuall/;$;Brick
Jungsik;2 Harrison St;New York City, NY 10013-2810; Asian, Korean, Gluten Free Options;4.5;272 reviews;+1 212-219-0900;https://www.tripadvisor.com//Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html;Check The Website for a Menu;$$$$;New York City
Ayothaya Thai Cuisine;4102 S Meridian;Puyallup, WA 98373-5962; Asian, Thai, Vegetarian Friendly;4.5;83 reviews;+1 253-841-7599;https://www.tripadvisor.com//Restaurant_Review-g58693-d905556-Reviews-Ayothaya_Thai_Cuisine-Puyallup_Washington.html;https://ayothayarestaurant.com/menu/;$$ - $$$;Puyallup
Pho & Chinese;2155 Ruben Torres Sr Blvd;Brownsville, TX 78526-7446; Chinese, Asian, Vietnamese;4.5;16 reviews;+1 956-621-0913;https://www.tripadvisor.com//Restaurant_Review-g60928-d12114120-Reviews-Pho_Chinese-Brownsville_Texas.html;http://phonchinese.weebly.com/menu.html;$$ - $$$;Brownsville
Tipsy Cow Burger Bar;16345 Cleveland St;Redmond, WA 98052-5745; American, Bar, Vegetarian Friendly;4;406 reviews;+1 425-896-8716;https://www.tripadvisor.com//Restaurant_Review-g58702-d5217385-Reviews-Tipsy_Cow_Burger_Bar-Redmond_Washington.html;Check The Website for a Menu;$$ - $$$;Redmond
Matthew's Italian Restaurant;1131 Bloomfield Ave;Clifton, NJ 07012-2305; Italian, Vegetarian Friendly, Vegan Options;4.5;221 reviews;+1 973-928-4300;https://www.tripadvisor.com//Restaurant_Review-g46365-d2176065-Reviews-Matthew_s_Italian_Restaurant-Clifton_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Clifton
The Marketside;712 E Market St;Niagara Falls, NY 14301-2240; American, Cafe, Diner;4.5;130 reviews;+1 716-282-0644;https://www.tripadvisor.com//Restaurant_Review-g48261-d2652664-Reviews-The_Marketside-Niagara_Falls_New_York.html;Check The Website for a Menu;$;Niagara Falls
J. Dominick's Trattoria;779 Dutchess Tpke;Poughkeepsie, NY 12603-2057; Italian, Gluten Free Options;4;130 reviews;+1 845-486-9400;https://www.tripadvisor.com//Restaurant_Review-g48443-d4021750-Reviews-J_Dominick_s_Trattoria-Poughkeepsie_New_York.html;Check The Website for a Menu;$$ - $$$;Poughkeepsie
The Crow's Nest;Route 17 South;Hackensack, NJ 07601; American, Bar, Seafood;4;125 reviews;+1 201-342-5445;https://www.tripadvisor.com//Restaurant_Review-g46480-d1192216-Reviews-The_Crow_s_Nest-Hackensack_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Hackensack
Texas Tradition;5321 Highway Blvd;Katy, TX 77494-1306; American;4;96 reviews;+1 281-391-6113;https://www.tripadvisor.com//Restaurant_Review-g56062-d2515627-Reviews-Texas_Tradition-Katy_Texas.html;Check The Website for a Menu;$$ - $$$;Katy
Parkers' Lighthouse;435 Shoreline Village Dr;Long Beach, CA 90802-4550; American, Bar, Seafood;4;1,294 reviews;+1 562-432-6500;https://www.tripadvisor.com//Restaurant_Review-g32648-d502480-Reviews-Parkers_Lighthouse-Long_Beach_California.html;Check The Website for a Menu;$$ - $$$;Long Beach
Asena Restaurant;2508 Santa Clara Ave;Alameda, CA 94501-4634; Mediterranean, Vegetarian Friendly, Vegan Options;4.5;142 reviews;+1 510-521-4100;https://www.tripadvisor.com//Restaurant_Review-g29073-d538374-Reviews-Asena_Restaurant-Alameda_California.html;Check The Website for a Menu;$$ - $$$;Alameda
Pappas Bros. Steakhouse;10477 Lombardy Ln;Dallas, TX 75220-4349; American, Steakhouse, Vegetarian Friendly;4.5;1,548 reviews;+1 214-366-2000;https://www.tripadvisor.com//Restaurant_Review-g55711-d649839-Reviews-Pappas_Bros_Steakhouse-Dallas_Texas.html;Check The Website for a Menu;$$$$;Dallas
Tony P's House of Pie;984 Boardwalk;Ocean City, NJ 08226-3537; Pizza, American, Vegetarian Friendly;4.5;54 reviews;+1 609-398-8669;https://www.tripadvisor.com//Restaurant_Review-g46696-d8129041-Reviews-Tony_P_s_House_of_Pie-Ocean_City_Cape_May_County_New_Jersey.html;https://tonypshouseofpie.com/menu/;$;Ocean City
Red Hot & Blue;5910 N Macarthur Blvd;Irving, TX 75039-3806; American, Barbecue, Bar;4;207 reviews;+1 972-402-0225;https://www.tripadvisor.com//Restaurant_Review-g56032-d464726-Reviews-Red_Hot_Blue-Irving_Texas.html;Check The Website for a Menu;$$ - $$$;Irving
Nob Hill Cafe;1152 Taylor St;San Francisco, CA 94108-1916; Italian, Pizza, Vegetarian Friendly;4.5;1,086 reviews;+1 415-776-6500;https://www.tripadvisor.com//Restaurant_Review-g60713-d353941-Reviews-Nob_Hill_Cafe-San_Francisco_California.html;Check The Website for a Menu;$$ - $$$;San Francisco
Bann Thai;6461 Brockton Ave;Riverside, CA 92506-2035; Asian, Thai, Vegetarian Friendly;4.5;39 reviews;+1 951-684-3381;https://www.tripadvisor.com//Restaurant_Review-g32978-d2182298-Reviews-Bann_Thai-Riverside_California.html;Check The Website for a Menu;$$ - $$$;Riverside
Jackson Hole;69_35 Astoria Boulevard;East Elmhurst, NY 11370; Greek, American, Vegetarian Friendly;4.5;167 reviews;+1 718-204-7070;https://www.tripadvisor.com//Restaurant_Review-g47626-d458328-Reviews-Jackson_Hole-East_Elmhurst_Queens_New_York.html;Check The Website for a Menu;$$ - $$$;East Elmhurst
Angelo's Pizza & Spaghetti;3809 NE 4th St;Renton, WA 98056-4106; Italian, Pizza, Vegetarian Friendly;4.5;30 reviews;+1 425-228-7415;https://www.tripadvisor.com//Restaurant_Review-g58704-d843478-Reviews-Angelo_s_Pizza_Spaghetti-Renton_Washington.html;Check The Website for a Menu;$$ - $$$;Renton
Tres Hermanas Mexican Restaurant;2416 K St;Sacramento, CA 95816-5002; Mexican, Latin, Vegetarian Friendly;4.5;313 reviews;+1 916-443-6919;https://www.tripadvisor.com//Restaurant_Review-g32999-d339747-Reviews-Tres_Hermanas_Mexican_Restaurant-Sacramento_California.html;Check The Website for a Menu;$$ - $$$;Sacramento
Palm Greens Cafe;611 S Palm Canyon Dr;Palm Springs, Greater Palm Springs, CA 92264-7213; American, Cafe, Healthy;4.5;332 reviews;+1 760-864-9900;https://www.tripadvisor.com//Restaurant_Review-g32847-d1380729-Reviews-Palm_Greens_Cafe-Palm_Springs_Greater_Palm_Springs_California.html;Check The Website for a Menu;$$ - $$$;Palm Springs
Crush;701 S Polk St;Amarillo, TX 79101-2309; American, Bar, Wine Bar;4.5;159 reviews;+1 806-418-2011;https://www.tripadvisor.com//Restaurant_Review-g30165-d2568977-Reviews-Crush-Amarillo_Texas.html;Check The Website for a Menu;$$ - $$$;Amarillo
Backstreet Restaurant;3735 Nelson St;Riverside, CA 92506-3027; American, Vegetarian Friendly;4.5;60 reviews;+1 951-683-6650;https://www.tripadvisor.com//Restaurant_Review-g32978-d509893-Reviews-Backstreet_Restaurant-Riverside_California.html;Check The Website for a Menu;$$ - $$$;Riverside
The Heights Restaurant and H Bar;903 Hanshaw Rd;Ithaca, NY 14850-1530; American, Vegetarian Friendly, Vegan Options;4.5;283 reviews;+1 607-257-4144;https://www.tripadvisor.com//Restaurant_Review-g47958-d475549-Reviews-The_Heights_Restaurant_and_H_Bar-Ithaca_Finger_Lakes_New_York.html;Check The Website for a Menu;$$$$;Ithaca
Santa Fe Mexican Grill;12709 NE 124th St;Kirkland, WA 98034-8307; Mexican, Southwestern, Vegetarian Friendly;4;65 reviews;+1 425-821-9405;https://www.tripadvisor.com//Restaurant_Review-g58541-d2714659-Reviews-Santa_Fe_Mexican_Grill-Kirkland_Washington.html;Check The Website for a Menu;$$ - $$$;Kirkland
Obao;222 E 53rd Street;New York City, NY 10022-5205; Vietnamese, Fusion, Vegetarian Friendly;4.5;349 reviews;+1 212-308-5588;https://www.tripadvisor.com//Restaurant_Review-g60763-d3263717-Reviews-Obao-New_York_City_New_York.html;Check The Website for a Menu;$$ - $$$;New York City
Piccola Cucina Estiatorio;75 Thompson St;New York City, NY 10012-4345; Italian, Seafood, Mediterranean;4.5;166 reviews;+1 646-781-9183;https://www.tripadvisor.com//Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html;http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Estiatorio-2018-compressed.pdf;$$ - $$$;New York City
Top of The Falls Restaurant;Goat Island;Niagara Falls, NY 14303; American, Vegetarian Friendly, Vegan Options;4;747 reviews;+1 716-278-0340;https://www.tripadvisor.com//Restaurant_Review-g48261-d389416-Reviews-Top_of_The_Falls_Restaurant-Niagara_Falls_New_York.html;Check The Website for a Menu;$$ - $$$;Niagara Falls
China Palace;5052 West Ln;Stockton, CA 95210-3590; Chinese, Asian;4.5;32 reviews;+1 209-955-0888;https://www.tripadvisor.com//Restaurant_Review-g33130-d1737619-Reviews-China_Palace-Stockton_California.html;Check The Website for a Menu;$$ - $$$;Stockton
Great China;2190 Bancroft Way;Berkeley, CA 94704-1422; Chinese, Asian, Vegetarian Friendly;4.5;67 reviews;+1 510-843-7996;https://www.tripadvisor.com//Restaurant_Review-g32066-d7282343-Reviews-Great_China-Berkeley_California.html;Check The Website for a Menu;$$ - $$$;Berkeley
ROYAL WARSAW;871 River Dr;Elmwood Park, NJ 07407-1001; Polish, European, Eastern European;4.5;129 reviews;+1 201-794-9277;https://www.tripadvisor.com//Restaurant_Review-g46416-d788345-Reviews-ROYAL_WARSAW-Elmwood_Park_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Elmwood Park
Wingcraft Kitchen and Beer Bar;2010 Baltic Ave;Atlantic City, NJ 08401-4110; American, Bar, Pub;4.5;280 reviews;+1 609-541-2799;https://www.tripadvisor.com//Restaurant_Review-g29750-d6754199-Reviews-Wingcraft_Kitchen_and_Beer_Bar-Atlantic_City_New_Jersey.html;http://www.wingcraftac.com/#menu-section;$$ - $$$;Atlantic City
Red's Place;107 N Aurora St;Ithaca, NY 14850-4301; American, Bar, Pub;4;134 reviews;+1 607-319-4486;https://www.tripadvisor.com//Restaurant_Review-g47958-d7045252-Reviews-Red_s_Place-Ithaca_Finger_Lakes_New_York.html;https://www.redsplaceithaca.com/wp-content/uploads/2019/07/Summer-Menu-2019.pdf;$$ - $$$;Ithaca
Silver Diner;2131 New Jersey 38;Cherry Hill, NJ 08002; American, Diner, Vegetarian Friendly;4;224 reviews;+1 856-910-1240;https://www.tripadvisor.com//Restaurant_Review-g46354-d573107-Reviews-Silver_Diner-Cherry_Hill_New_Jersey.html;https://www.silverdiner.com/menu/appetizers;$$ - $$$;Cherry Hill
Carousel Restaurant & Bistro;25 N Front St Ste 6;Yakima, WA 98901; American, French, International;4.5;138 reviews;+1 509-248-6720;https://www.tripadvisor.com//Restaurant_Review-g58838-d735058-Reviews-Carousel_Restaurant_Bistro-Yakima_Washington.html;Check The Website for a Menu;$$$$;Yakima
